"","satisfaction_level","last_evaluation","number_project","average_montly_hours","time_spend_company","Work_accident","promotion_last_5years","Department","salary","left"
"4667",0.87,0.62,5,197,2,0,0,8,2,"0"
"2517",0.84,0.87,3,271,3,0,0,5,2,"0"
"11159",0.69,0.55,3,172,2,0,0,10,3,"0"
"4889",0.79,0.59,5,197,4,0,0,10,3,"0"
"8920",0.62,0.64,3,165,3,0,0,3,1,"0"
"8204",0.8,0.75,4,217,2,0,0,10,2,"0"
"6892",0.49,0.58,5,246,3,1,0,8,3,"0"
"3945",0.78,0.91,5,150,4,0,0,9,2,"0"
"4547",0.71,0.79,4,133,3,0,1,10,3,"0"
"3302",0.49,0.69,2,147,2,0,0,8,3,"0"
"8876",0.92,0.88,3,145,4,1,0,8,1,"0"
"2039",0.51,0.8,3,218,2,1,0,9,2,"0"
"4064",0.64,0.85,5,179,2,0,0,8,2,"0"
"6217",0.56,0.59,5,209,2,1,0,2,1,"0"
"6780",0.31,0.92,5,197,5,0,0,3,2,"0"
"8866",0.58,0.53,4,181,3,1,0,8,2,"0"
"3694",0.59,0.61,4,141,2,1,0,2,3,"0"
"13625",0.16,0.72,3,203,3,0,0,8,3,"0"
"3845",0.75,0.57,5,162,3,0,0,1,3,"0"
"7691",0.77,0.71,5,233,2,0,0,10,2,"0"
"13644",0.91,0.82,4,238,2,0,0,4,2,"0"
"8183",0.89,0.77,4,269,4,0,0,8,3,"0"
"3672",0.7,0.7,3,224,3,0,0,8,2,"0"
"13813",0.53,0.66,3,191,3,0,0,3,1,"0"
"2153",0.74,0.92,5,193,3,0,0,8,2,"0"
"6663",0.62,0.75,4,216,2,0,0,8,2,"0"
"4943",0.28,0.51,3,124,3,0,0,10,2,"0"
"7317",0.17,0.85,3,168,4,0,0,3,2,"0"
"7949",0.77,0.48,3,204,6,0,0,8,1,"0"
"4735",0.97,0.61,4,167,3,0,1,1,1,"0"
"6509",0.82,0.7,3,149,2,0,0,8,3,"0"
"8621",0.74,0.61,3,228,2,1,0,3,2,"0"
"10849",0.83,0.86,4,98,4,0,0,8,2,"0"
"5035",0.47,0.51,6,190,5,0,1,7,3,"0"
